Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2022.10.17 12:22:54  37.4270   40.4200       15.5      -.-  1.0  -.-   TANRIYOLU-MAZIDAGI (MARDIN)                       İlksel
2022.10.17 12:21:12  37.1603   27.8220        0.0      -.-  1.2  -.-   KARACAHISAR-MILAS (MUGLA)                         İlksel
2022.10.17 11:21:30  39.4760   33.5002       16.4      -.-  2.1  -.-   KARAYAKUP-CELEBI (KIRIKKALE)                      İlksel
2022.10.17 11:16:05  38.4445   44.9127        5.0      -.-  3.1  -.-   TURKIYE-IRAN SINIR BOLGESI                        İlksel
2022.10.17 11:14:37  39.0532   26.9828        8.1      -.-  1.7  -.-   KOCAOBA-DIKILI (IZMIR)                            REVIZE01   (2022.10.17 11:14:44)
2022.10.17 10:42:40  35.2040   26.8988        2.1      -.-  3.1  -.-   GIRIT ADASI (AKDENIZ)                             İlksel
2022.10.17 10:15:25  38.2415   25.9108        5.4      -.-  2.3  -.-   SAKIZ ADASI (EGE DENIZI)                          İlksel
2022.10.17 07:27:58  37.6905   27.8395       15.3      -.-  2.5  -.-   GOZKAYA-KOCARLI (AYDIN)                           İlksel
2022.10.17 07:20:50  36.8252   28.7900        6.7      -.-  1.3  -.-   ORTACA (MUGLA)                                    İlksel
2022.10.17 06:28:17  37.6877   27.8342        4.9      -.-  1.7  -.-   GOZKAYA-KOCARLI (AYDIN)                           İlksel
2022.10.17 06:20:21  35.7158   25.8358       10.0      -.-  2.4  -.-   AKDENIZ                                           İlksel
2022.10.17 04:13:07  35.6418   29.8223       25.5      -.-  1.8  -.-   AKDENIZ                                           İlksel
2022.10.17 04:12:38  37.6212   26.8432       10.6      -.-  1.5  -.-   EGE DENIZI                                        İlksel
2022.10.17 03:48:07  38.6895   43.2930       25.4      -.-  1.4  -.-   YUMRUTEPE-(VAN)                                   İlksel
2022.10.17 02:51:39  40.8227   42.8600       10.3      -.-  1.5  -.-   KUCUKBOGATEPE-(KARS)                              İlksel
2022.10.17 02:50:45  37.1107   28.4177        2.5      -.-  1.4  -.-   ULA (MUGLA)                                       İlksel
2022.10.17 02:49:41  39.8360   43.5928       16.8      -.-  1.8  -.-   ABBASGOL-TUZLUCA (IGDIR)                          İlksel
2022.10.16 23:53:02  40.0323   23.6028        9.8      -.-  1.6  -.-   YUNANISTAN                                        İlksel
2022.10.16 22:54:58  37.9502   28.7870        6.1      -.-  1.8  -.-   SAVCILI-BUHARKENT (AYDIN)                         İlksel
2022.10.16 22:30:46  37.2197   36.2553        8.9      -.-  1.8  -.-   KARAGEDIK-DUZICI (OSMANIYE)                       İlksel
2022.10.16 19:47:06  37.0902   28.4043       17.3      -.-  1.8  -.-   ULA (MUGLA)                                       İlksel
2022.10.16 19:46:36  38.6773   43.1898        1.2      -.-  2.5  -.-   MOLLAKASIM-(VAN)                                  İlksel
2022.10.16 19:37:54  37.3243   36.8680        7.8      -.-  1.4  -.-   BALIKALAN-NURDAGI (GAZIANTEP)                     İlksel
2022.10.16 19:25:34  37.0717   28.4310       10.5      -.-  2.2  -.-   YESILOVA-ULA (MUGLA)                              İlksel
2022.10.16 18:13:50  40.6508   29.2165        0.0      -.-  1.5  -.-   SAMANLI-(YALOVA)                                  İlksel
2022.10.16 14:44:47  40.6763   29.2613       11.4      -.-  1.7  -.-   YALOVA                                            İlksel
2022.10.16 14:10:10  37.3150   36.8480       13.7      -.-  1.8  -.-   MINEHUYUK-TURKOGLU (KAHRAMANMARAS)                İlksel
2022.10.16 13:57:31  37.3790   36.8965        1.5      -.-  1.7  -.-   GOLLUHUYUK-TURKOGLU (KAHRAMANMARAS)               İlksel
2022.10.16 13:43:56  37.0520   28.3208       10.2      -.-  1.4  -.-   AKYAKA-ULA (MUGLA)                                İlksel
2022.10.16 13:35:16  38.2758   38.6068        8.3      -.-  2.7  -.-   PELITLI-(MALATYA)                                 İlksel
2022.10.16 13:27:43  37.7875   29.1017        0.0      -.-  1.4  -.-   DENIZLI (DENIZLI)                                 İlksel
2022.10.16 13:22:17  37.8207   26.9915       17.0      -.-  1.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.16 12:52:24  37.9713   27.1497        4.1      -.-  2.8  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.16 12:28:41  38.2662   38.6462        5.4      -.-  2.6  -.-   PELITLI-(MALATYA)                                 İlksel
2022.10.16 12:24:24  38.2868   38.5585        6.4      -.-  3.3  3.2   TANISIK-(MALATYA)                                 İlksel
2022.10.16 12:20:58  37.1485   28.6272       12.2      -.-  2.4  -.-   CAKMAK-(MUGLA)                                    İlksel
2022.10.16 09:51:56  36.3842   27.2702        2.9      -.-  2.1  -.-   KOS ADASI (AKDENIZ)                               İlksel
2022.10.16 07:06:47  37.8170   26.9523        2.3      -.-  1.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2022.10.16 07:00:22  37.5528   32.0107       12.5      -.-  0.9  -.-   DIKILITAS-SEYDISEHIR (KONYA)                      İlksel
2022.10.16 03:23:17  37.3312   36.2983        4.0      -.-  1.7  -.-   CERCIOGLU-DUZICI (OSMANIYE)                       İlksel
2022.10.16 01:38:33  34.4232   26.6740       19.1      -.-  2.5  -.-   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2022.10.16 01:10:44  35.2032   26.9875       10.0      -.-  2.5  -.-   GIRIT ADASI (AKDENIZ)                             İlksel
2022.10.16 00:13:33  37.3375   36.2387        5.0      -.-  2.7  -.-   BAHADIRLI-KADIRLI (OSMANIYE)                      İlksel
2022.10.15 21:22:29  33.6890   25.8085      129.8      -.-  3.6  -.-   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2022.10.15 21:10:38  36.8463   31.0717      114.2      -.-  2.3  -.-   BELEK-SERIK (ANTALYA)                             İlksel
2022.10.15 19:42:46  36.1877   27.6345        9.5      -.-  1.4  -.-   AKDENIZ                                           İlksel
2022.10.15 19:34:57  39.2353   40.2188        3.1      -.-  2.1  -.-   ACIKGUNEY-KIGI (BINGOL)                           İlksel
2022.10.15 19:00:32  40.1588   29.8083        0.0      -.-  1.4  -.-   KUNCEGIZ-(BILECIK)                                İlksel
2022.10.15 18:48:08  36.6740   33.3748        5.0      -.-  1.7  -.-   KADIKOY-MUT (MERSIN)                              İlksel
2022.10.15 18:37:09  39.6417   38.7115        5.0      -.-  2.2  -.-   GULBAHCE-KEMAH (ERZINCAN)                         İlksel
